key,instantiation_update_moment,period_start,period_end,linkPicture,slogan,linkTarget
banner-01,2022/01/15 16:30,2022/07/29 01:00,2022/08/01 23:59,https://ejemplo.com/imagen1.jpg,Descubre nuestros cursos,https://ejemplo.com/cursos
banner-02,2022/04/20 12:00,2023/04/20 00:00,2023/04/23 23:59,https://ejemplo.com/imagen2.jpg,Aprende nuevas habilidades,https://ejemplo.com/habilidades
banner-03,2022/07/10 10:45,2023/07/01 00:00,2023/07/20 23:59,https://ejemplo.com/imagen3.jpg,Inscríbete en nuestros talleres,https://ejemplo.com/talleres
banner-04,2022/06/18 14:15,2023/08/01 00:00,2023/08/31 23:59,https://ejemplo.com/imagen4.jpg,Mejora tu carrera profesional,https://ejemplo.com/carrera
banner-05,2022/07/22 11:25,2023/09/01 00:00,2023/09/15 23:59,https://ejemplo.com/imagen5.jpg,Únete a nuestra comunidad,https://ejemplo.com/comunidad
banner-06,2022/05/28 18:00,2023/10/01 00:00,2023/10/31 23:59,https://ejemplo.com/imagen6.jpg,Desarrolla tus habilidades técnicas,https://ejemplo.com/tecnico
banner-07,2022/04/10 09:30,2023/11/01 00:00,2023/11/30 23:59,https://ejemplo.com/imagen7.jpg,Invierte en tu futuro,https://ejemplo.com/futuro
banner-08,2022/02/15 16:40,2023/12/01 00:00,2023/12/31 23:59,https://ejemplo.com/imagen8.jpg,Aprende a tu ritmo,https://ejemplo.com/ritmo
banner-09,2022/01/26 20:50,2024/01/01 00:00,2024/01/31 23:59,https://ejemplo.com/imagen9.jpg,Explora nuevos temas,https://ejemplo.com/temas
banner-10,2022/03/12 22:00,2024/02/01 00:00,2024/02/28 23:59,https://ejemplo.com/imagen10.jpg,Especialízate en tu área,https://ejemplo.com/especializacion
